GetBattleInfo, GetBattleInfo, GetBattleInfo
RotateRight45, GetBattleInfo, Shoot
GetBattleInfo, RotateLeft90, GetBattleInfo
Shoot, GetBattleInfo, DoNothing
GetBattleInfo, MoveForward, GetBattleInfo
DoNothing, GetBattleInfo, DoNothing
GetBattleInfo, RotateLeft45, GetBattleInfo
RotateRight90, GetBattleInfo, Shoot
GetBattleInfo, MoveForward, GetBattleInfo
RotateRight90, GetBattleInfo, DoNothing
GetBattleInfo, RotateLeft45, GetBattleInfo
Shoot, GetBattleInfo, DoNothing
GetBattleInfo, MoveForward, GetBattleInfo
DoNothing, GetBattleInfo, Shoot
GetBattleInfo, MoveForward, GetBattleInfo
RotateRight45, GetBattleInfo, DoNothing
GetBattleInfo, RotateRight45, GetBattleInfo
RotateRight45, GetBattleInfo, DoNothing
GetBattleInfo, MoveForward, GetBattleInfo
Shoot, GetBattleInfo, Shoot
GetBattleInfo, MoveForward, GetBattleInfo
DoNothing, GetBattleInfo, DoNothing
GetBattleInfo, RotateLeft45, GetBattleInfo
DoNothing, GetBattleInfo, MoveForward
GetBattleInfo, MoveForward, GetBattleInfo
Shoot, GetBattleInfo, MoveForward
GetBattleInfo, RotateRight45, GetBattleInfo
RotateLeft90, GetBattleInfo, RotateLeft45
GetBattleInfo, MoveForward, GetBattleInfo
DoNothing, GetBattleInfo, MoveForward
GetBattleInfo, RotateLeft90, GetBattleInfo
RotateLeft45, GetBattleInfo, MoveForward
GetBattleInfo, MoveForward, GetBattleInfo
Shoot, GetBattleInfo, MoveForward
GetBattleInfo, RotateRight90, GetBattleInfo
RotateRight45, GetBattleInfo, RotateLeft90
GetBattleInfo (killed), Shoot, GetBattleInfo
Player 2 won with 2 tanks still alive
